indicatorNid,indicatorName,parentColumn,unit,subgroup,numerator,denominator,aggregationType,parentType,formId,periodicity,aggregationRule,highIsGood,typeDetailId,area,collection,sector,subsector
741,"Percentage of Community Engagement Meetings conducted with theme ""What is anaemia, its causes and symptoms""",,percent,Anemia,118,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
743,"Percentage of  Community Engagement Meetings conducted with theme ""Effects due to anaemia""",,percent,Anaemia,119,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
815,media demonstration sessions where Video was shown and replayed,,number,Media replay,F9Q15,,number,dropdown,9,monthly,,TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
816,Percentage of media demonstration sessions where Video was shown and replayed,,percent,Media replay,815,187,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
817,"media demonstration sessions where video ""Friendship with health : Ep1: Promo"" was shown and replayed ",,number,Media replay,F9Q15,,number,dropdown,9,monthly,and$eq(data.F9Q5:156),TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
818,"Percentage of media demonstration sessions where video ""Friendship with health : Ep1: Promo"" was shown and replayed ",,percent,Media replay,817,619,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
819,"media demonstration sessions where video ""Friendship with health : Ep2 : Sangeeta’s Race"" was shown and replayed ",,number,Media replay,F9Q15,,number,dropdown,9,monthly,and$eq(data.F9Q5:157),TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
820,"Percentage of media demonstration sessions where video ""Friendship with health : Ep2 : Sangeeta’s Race"" was shown and replayed ",,percent,Media replay,819,620,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
821,"media demonstration sessions where video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was shown and replayed ",,number,Media replay,F9Q15,,number,dropdown,9,monthly,and$eq(data.F9Q5:158),TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
822,"Percentage of media demonstration sessions where video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was shown and replayed ",,percent,Media replay,821,621,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
823,"media demonstration sessions where video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was shown and replayed ",,number,Media replay,F9Q15,,number,dropdown,9,monthly,and$eq(data.F9Q5:159),TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
824,"Percentage of media demonstration sessions where video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was shown and replayed ",,percent,Media replay,823,622,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
825,"media demonstration sessions where video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was shown and replayed ",,number,Media replay,F9Q15,,number,dropdown,9,monthly,and$eq(data.F9Q5:160),TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
826,"Percentage of media demonstration sessions where video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was shown and replayed ",,percent,Media replay,825,623,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
827,"media demonstration sessions where video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was shown and replayed ",,number,Media replay,F9Q15,,number,dropdown,9,monthly,and$eq(data.F9Q5:161),TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
828,"percentage of media demonstration sessions where video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was shown and replayed ",,percent,Media replay,827,624,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
843,Total no of times video was replayed during media demonstration sessions,,number,Media replay,F9Q16,,number,form,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
845,"total no of times video was replayed during media demonstration sessions where video ""Friendship with health : Ep1: Promo"" was shown  ",,number,Media replay,F9Q16,,number,numeric,9,monthly,and$eq(data.F9Q5:156),TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
847,"total no of times video was replayed during media demonstration sessions where video ""Friendship with health : Ep2 : Sangeeta’s Race"" was shown",,number,Media replay,F9Q16,,number,numeric,9,monthly,and$eq(data.F9Q5:157),TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
849,"total no of times video was replayed during media demonstration sessions where video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was shown",,number,Media replay,F9Q16,,number,numeric,9,monthly,and$eq(data.F9Q5:158),TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
851,"total no of times video was replayed during media demonstration sessions where video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was shown ",,number,Media replay,F9Q16,,number,numeric,9,monthly,and$eq(data.F9Q5:159),TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
853,"total no of times video was replayed during media demonstration sessions where video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was shown",,number,Media replay,F9Q16,,number,numeric,9,monthly,and$eq(data.F9Q5:160),TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
855,Number of T4 approach forms rejected zero times,,number,rejected zero times,,,mastercount,master,1,monthly,and$eq(rejected:false:boolean),TRUE,,"data.F1Q3,uniqueId",org.sdrc.datum19.document.CFInputFormData,T4,T4
856,Number of Community engagement meeting forms rejected zero times,,number,rejected zero times,,,mastercount,master,2,monthly,and$eq(rejected:false:boolean),TRUE,,"data.F2Q3,uniqueId",org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
858,Number of Hemocue forms rejected zero times,,number,rejected zero times,,,mastercount,master,4,monthly,and$eq(rejected:false:boolean),TRUE,,"data.F4Q3,uniqueId",org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
859,Number of T4 approach  forms rejected once or more than once,,number,rejected ,,,mastercount,master,1,monthly,and$eq(rejected:true:boolean),TRUE,,"data.F1Q3,uniqueId",org.sdrc.datum19.document.CFInputFormData,T4,T4
860,Number of Community engagement meeting forms rejected once or more than once,,number,rejected ,,,mastercount,master,2,monthly,and$eq(rejected:true:boolean),TRUE,,"data.F2Q3,uniqueId",org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
862,Number of Hemocue forms rejected once or more than once,,number,rejected ,,,mastercount,master,4,monthly,and$eq(rejected:true:boolean),TRUE,,"data.F4Q3,uniqueId",org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
875,"Percentage of  Community Engagement Meetings conducted with theme ""deworming and malaria-effect on anaemia and IFA intake""",,percent,Deworming,125,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
877,"Percent of  Community Engagement Meetings conducted with theme ""Addressing anaemia using various approaches""",,percent,Anemia,120,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
880,"Percentage of Community Engagement Meetings conducted with theme ""Supplements for anaemia (IFA)""",,percent,Anaemia,121,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
882,"Percentage of Community Engagement Meetings conducted with theme ""Understanding barriers and opportunities""",,percent,Barriers,122,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
884,"Percentage of Community Engagement Meetings conducted with theme ""Role of other stakeholders in ensuring IFA compliance""",,percent,IFA,123,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
886,"Percentage of  Community Engagement Meetings conducted with theme ""dietary diversity""",,percent,Dietary,124,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
887,"total no of times video was replayed during media demonstration sessions where video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was shown",,number,Media replay,F9Q16,,number,numeric,9,monthly,and$eq(data.F9Q5:161),TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
889, sessions where questions were raised by supervisors for further discussion after media demonstration sessions  ,,number,Q&A discussion,F9Q17,,number,dropdown,9,monthly,,TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
890,Percentage of  sessions where questions were raised by supervisors for further discussion after media demonstration sessions,,percent,Q&A discussion,889,187,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
891," sessions where questions were raised by supervisors for further discussion after media demonstration sessions where video ""Friendship with health : Ep1: Promo"" was shown ",,number,Q&A discussion,F9Q17,,number,dropdown,9,monthly,and$eq(data.F9Q5:156),TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
892,"Percentage of  sessions where questions were raised by supervisors for further discussion after media demonstration sessions where video ""Friendship with health : Ep1: Promo"" was shown ",,percent,Q&A discussion,891,619,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
893,"sessions where questions were raised by supervisors for further discussion after media demonstration sessions where video ""Friendship with health : Ep2 : Sangeeta’s Race"" was shown ",,number,Q&A discussion,F9Q17,,number,dropdown,9,monthly,and$eq(data.F9Q5:157),TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
894,"Percentage of sessions where questions were raised by supervisors for further discussion after media demonstration sessions where video ""Friendship with health : Ep2 : Sangeeta’s Race"" was shown ",,percent,Q&A discussion,893,620,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
895,"sessions where questions were raised by supervisors for further discussion after media demonstration sessions where video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was shown ",,number,Q&A discussion,F9Q17,,number,dropdown,9,monthly,and$eq(data.F9Q5:158),TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
896,"Percentage of sessions where questions were raised by supervisors for further discussion after media demonstration sessions where video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was shown ",,percent,Q&A discussion,895,621,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
897,"sessions where questions were raised by supervisors for further discussion after media demonstration sessions where video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was shown",,number,Q&A discussion,F9Q17,,number,dropdown,9,monthly,and$eq(data.F9Q5:159),TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
898,"Percentage of sessions where questions were raised by supervisors for further discussion after media demonstration sessions where video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was shown",,percent,Q&A discussion,897,622,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
899,"sessions where questions were raised by supervisors for further discussion after media demonstration sessions where video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was shown ",,number,Q&A discussion,F9Q17,,number,dropdown,9,monthly,and$eq(data.F9Q5:160),TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
900,"Percentage of sessions where questions were raised by supervisors for further discussion after media demonstration sessions where video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was shown ",,percent,Q&A discussion,899,623,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
901,"sessions where questions were raised by supervisors for further discussion after media demonstration sessions where video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was shown ",,number,Q&A discussion,F9Q17,,number,dropdown,9,monthly,and$eq(data.F9Q5:161),TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
